Time,GPU Power (W)
0.00,29.953
0.01,29.953
0.02,29.953
0.03,29.953
0.04,29.953
0.05,29.953
0.06,29.953
0.07,29.953
0.08,29.953
0.09,29.953
0.10,29.953
0.11,29.953
0.12,29.953
0.13,29.953
0.14,29.953
0.15,29.953
0.16,29.953
0.17,29.953
0.18,29.953
0.19,29.953
0.20,29.953
0.21,29.953
0.22,29.953
0.23,29.953
0.24,29.953
0.25,29.953
0.26,29.953
0.27,29.953
0.28,29.953
0.29,29.953
0.30,29.953
0.31,29.953
0.32,29.953
0.33,29.953
0.34,29.953
0.35,29.953
0.36,29.953
0.37,29.953
0.38,29.953
0.39,29.953
0.40,29.953
0.41,29.953
0.42,29.953
0.43,29.953
0.44,29.953
0.45,29.953
0.46,29.953
0.47,29.953
0.48,29.953
0.49,29.953
0.50,29.953
0.51,29.953
0.53,29.953
0.54,29.953
0.55,29.953
0.56,29.953
0.57,29.953
0.58,29.953
0.59,29.953
0.60,29.953
0.61,29.953
0.62,29.953
0.63,29.953
0.64,29.953
0.65,29.953
0.66,29.953
0.67,29.953
0.68,29.953
0.69,29.953
0.70,29.953
0.71,29.999
0.72,29.999
0.73,29.999
0.74,29.999
0.75,29.999
0.76,29.999
0.77,29.999
0.78,29.999
0.79,29.999
0.80,29.999
0.81,29.999
0.82,29.999
0.83,29.999
0.84,29.999
0.85,29.999
0.86,29.999
0.87,29.999
0.88,29.999
0.89,29.999
0.90,29.999
0.91,29.999
0.92,29.999
0.93,29.999
0.94,29.999
0.95,29.999
0.96,29.999
0.97,29.999
0.98,29.999
0.99,29.999
1.00,29.999
1.01,29.999
1.02,29.999
1.03,29.999
1.04,29.999
1.05,29.999
1.06,29.999
1.07,29.999
1.08,29.999
1.09,29.999
1.10,29.999
1.11,29.999
1.12,29.999
1.13,29.999
1.14,29.999
1.15,29.999
1.16,29.999
1.17,29.999
1.18,29.999
1.19,29.999
1.20,29.999
1.21,29.999
1.22,29.999
1.23,29.999
1.24,29.999
1.25,29.999
1.26,29.999
1.27,29.999
1.28,29.999
1.29,29.999
1.30,29.999
1.31,29.999
1.32,29.999
1.33,29.999
1.34,29.999
1.35,29.999
1.36,29.999
1.37,29.999
1.38,29.999
1.39,29.999
1.40,29.999
1.41,29.999
1.42,29.999
1.43,29.999
1.45,29.999
1.46,29.999
1.47,29.999
1.48,29.999
1.49,29.999
1.50,29.999
1.51,29.999
1.52,29.999
1.53,29.999
1.54,29.999
1.55,29.999
1.56,29.999
1.57,29.999
1.58,29.999
1.59,29.999
1.60,29.999
1.61,29.999
1.62,29.999
1.63,29.999
1.64,29.999
1.65,29.999
1.66,29.999
1.67,29.999
1.68,29.999
1.69,29.999
1.70,29.999
1.71,29.999
1.72,29.999
1.73,29.999
1.74,29.999
1.75,29.999
1.76,29.999
1.77,29.999
1.78,29.999
1.79,29.999
1.80,29.999
1.81,29.999
1.82,29.999
1.83,29.999
1.84,29.999
1.85,29.999
1.86,29.999
1.87,29.999
1.88,29.999
1.89,29.999
1.90,29.999
1.91,29.999
1.92,29.999
1.93,29.999
1.94,29.999
1.95,29.999
1.96,29.999
1.97,29.999
1.98,29.999
1.99,29.999
2.00,29.999
2.01,29.999
2.02,29.999
2.03,29.999
2.04,29.999
2.05,29.999
2.06,29.999
2.07,29.999
2.08,29.999
2.09,29.999
2.10,29.999
2.11,29.999
2.12,29.999
2.13,29.999
2.14,29.999
2.15,29.999
2.16,29.999
2.17,29.999
2.18,29.999
2.19,29.999
2.20,29.999
2.21,29.999
2.22,29.999
2.23,29.999
2.24,29.999
2.25,29.999
2.26,29.999
2.27,29.999
2.28,29.999
2.29,29.999
2.30,29.999
2.31,29.999
2.32,29.999
2.33,29.999
2.34,29.999
2.35,29.999
2.36,29.999
2.37,29.999
2.38,29.999
2.39,29.999
2.40,29.999
2.41,29.999
2.42,29.999
2.43,29.999
2.44,29.999
2.45,29.999
2.46,29.999
2.47,29.999
2.48,29.999
2.49,29.999
2.50,29.999
2.51,29.999
2.52,29.999
2.53,29.999
2.54,29.999
2.55,29.999
2.56,29.999
2.57,29.999
2.58,29.999
2.59,29.999
2.60,29.999
2.62,29.999
2.63,29.999
2.64,29.999
2.65,29.999
2.66,29.999
2.67,29.999
2.68,29.999
2.69,29.999
2.70,29.999
2.71,29.999
2.72,29.904
2.73,29.904
2.74,29.904
2.75,29.904
2.76,29.904
2.77,29.904
2.78,29.904
2.79,29.904
2.80,29.904
2.81,29.904
2.82,29.904
2.83,29.904
2.84,29.904
2.85,29.904
2.86,29.904
2.87,29.904
2.88,29.904
2.89,29.904
2.90,29.904
2.91,29.904
2.92,29.904
2.93,29.904
2.94,29.904
2.95,29.904
2.96,29.904
2.97,29.904
2.98,29.904
2.99,29.904
3.00,29.904
3.01,29.904
3.02,29.904
3.03,29.904
3.04,29.904
3.05,29.904
3.06,29.904
3.07,29.904
3.08,29.904
